concept_id,level_of_cause,predecessors_array,total_yr_deaths_USA,per_100_000_inhabitants_/yr_USA,female_yr_deaths_/yr_USA,female_yr_deaths_=<_4yo_USA,"female_yr_deaths_>=5yo,_<=64yo_USA",female_yr_deaths_>=_65_USA,male_yr_deaths_USA,male_yr_deaths_=<_4yo_USA,"male_yr_deaths_>=5yo,_<=64yo_USA",male_yr_deaths_>=_65_USA,total_deaths_source_year_USA,sources_total_deaths_USA,deaths_quality_USA,total_yr_deaths_FRANCE,per_100_000_inhabitants_/yr_FRANCE,female_yr_deaths_/yr_FRANCE,female_yr_deaths_=<_4yo_FRANCE,"female_yr_deaths_>=5yo,_<=64yo_FRANCE",female_yr_deaths_>=_65_FRANCE,male_yr_deaths_FRANCE,male_yr_deaths_=<_4yo_FRANCE,"male_yr_deaths_>=5yo,_<=64yo_FRANCE",male_yr_deaths_>=_65_FRANCE,total_deaths_source_year_FRANCE,sources_total_deaths_FRANCE,deaths_quality_FRANCE,successor_array,sources_for_causality,causality_quality,is accident,CIM10,comments,concept_id_french
chronic obstructive pulmonary disease,indirect,"[{""predecessor_id"":""damaged pulmonary alveoli"",""impact"":""1""}]",,,,,,,,,,,,,,16000,23.86,7020,1,179,6840,5998,1,394,5603,2016,https://www.chu-lyon.fr/fr/espace-sante/bpco-broncho-pneumopathie-chronique-obstructive,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]",1 by definition,2,,,,Broncho-pneumopathie chronique obstructive
suicides,root,,,,,,,,,,,,,,,8427,12.57,1982,0,1307,675,6445,0,4425,2020,2016,https://www.cepidc.inserm.fr/,3,"[{""successor_id"":""traumatic injury""}]",,3,yes,,,Suicides
breast cancer,root,,,,,,,,,,,,,,,12669,18.89,12427,0,3723,8704,242,0,61,181,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""infection""}]","no clear mecanism, only correlation ""The main factors that influence your risk include being a woman and getting older."" https://www.cdc.gov/cancer/breast/basic_info/risk_factors.htm",2,,,,Cancer du sein
falls,root,,,,,,,,,,,,,,,10520,15.69,5508,8,275,5225,5012,8,941,4062,2011,https://www.santepubliquefrance.fr/content/download/60413/1193346,2,"[{""successor_id"":""traumatic injury""}]",,3,yes,W00-W19,90% for 65yr+ to distribute,Chutes
natural radiations,root,,,,,,,,,,,,,,,4732,7.06,2358,0,569,1789,2374,0,341,2033,,radon 3000 https://solidarites-sante.gouv.fr/sante-et-environnement/batiments/article/radon + MELANOMA 629,1,"[{""successor_id"":""melanoma"",""impact"":""1732""},{""successor_id"":""ionizing radiations"",""impact"":""3000""}]",,1,,"J70.0,J70.1,L56,L59","includes uv ionizing radiation and rado, distrubtion based on CDC CIM10 over 2009 and 2019",Radiations naturelles
prostate cancer,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""1""}]",,,,,,,,,,,,,,8721,13.00,0,0,0,0,8721,0,459,8262,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""metastases""}]",https://www.cancer.org/cancer/prostate-cancer/detection-diagnosis-staging/survival-rates.html,2,,,,Cancer de la prostate
pancreatic cancer,indirect,"[{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.25""},{""predecessor_id"":""obesity-related inflammation"",""impact"":""0.20""},{""predecessor_id"":""unknown carcinogens"",""impact"":""0.40""},{""predecessor_id"":""inherited gene mutations"",""impact"":""0.15""}]",,,,,,,,,,,,,,11089,16.54,5591,0,954,4637,5498,0,1488,4010,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""metastases""}]","https://www.scientificamerican.com/article/experts-pancreatic-cancer-gene-upshaw/#:~:text=When%20most%20patients%20die%20of,being%20taken%20over%20by%20tumor.",2,,,unknown are referenced from ageing,Cancer du pancréas
liver cancer,indirect,"[{""predecessor_id"":""ionizing radiations"",""impact"":""0.5""},{""predecessor_id"":""alcohol-related carcinogens"",""impact"":""0.5""}]",,,,,,,,,,,,,,8697,12.97,2469,1,403,2065,6166,1,1644,4521,2016,https://www.santepubliquefrance.fr/content/download/296577/2795897,2,"[{""successor_id"":""metastases""}]","just predecessor, no computable impact https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321068/",1,,,,Cancer du foie
medical radiations,root,,,,,,,,,,,,,,,3800,5.67,1900,0,950,0,1900,0,950,0,2015,https://gco.iarc.fr/includes/PAF/PAF_FR_report.pdf 2300+ brain 1500=3800,1,"[{""successor_id"":""brain cancer""},{""successor_id"":""ionizing radiations""}]",,1,,"Y63.2,Y63.3",French distribution of total to gender/age groups based on USA CDC,Radiations médicales
gastric cancer,indirect,"[{""predecessor_id"":""infection"",""impact"":""0.6""},{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.1""},{""predecessor_id"":""pickled food related carcinogens"",""impact"":""0.1""},{""predecessor_id"":""obesity-related inflammation"",""impact"":""0.1""},{""predecessor_id"":""inherited gene mutations"",""impact"":""0.1""}]",,,,,,,,,,,,,,4411,6.58,1525,0,318,1207,2878,0,829,2049,2012,https://lesdonnees.e-cancer.fr/Themes/Types-de-cancer/Le-cancer-de-l-estomac/Epidemiologie-estomac,2,"[{""successor_id"":""metastases"",""impact"":""0.86""},{""successor_id"":""nutritional deficiency"",""impact"":""0.14""}]","World Cancer Report 2014. World Health Organization. 2014. pp. Chapter 5.4. ISBN 978-9283204299. , https://onlinelibrary.wiley.com/doi/full/10.1111/cas.14441",2,,,nutritional deficiency lead to other deseases,Cancer de l'estomac
land and water transport accidents,root,,,,,,,,,,,,,,,4800,7.16,1222,21,734,467,3578,26,2749,803,2007,http://www.invs.sante.fr/surveillance/acvc/Publications/objectif_94.pdf,2,"[{""successor_id"":""traumatic injury""}]",,1,yes,,,Accident de la route
bladder cancer,indirect,"[{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.5""},{""predecessor_id"":""ionizing radiations"",""impact"":""0.2""},{""predecessor_id"":""occupational work"",""impact"":""0.15""},{""predecessor_id"":""infection"",""impact"":""0.15""}]",,,,,,,,,,,,,,5298,7.90,1257,0,139,1118,4041,1,503,3537,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""metastases""}]","https://bcan.org/wp-content/uploads/2018/06/Risks-Part-I.pdf, https://reader.elsevier.com/reader/sd/pii/S030228381300849X?token=CAEEFD3BA5F4582E00194B48B0FB4410E35BA9E716BE20C8327956EF14B64205ABB5DE71173C679140B41DBF557B41B9",2,,,work in textile industry in countries under development? (cause  aromatic amine in dies),Cancer de la vessie
non-Hodgkin lymphoma,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""0.787""},{""predecessor_id"":""pesticide-related carcinogens"",""impact"":""0.196""},{""predecessor_id"":""AIDS"",""impact"":""0.016""}]",,,,,,,,,,,,,,4241,6.32,1908,3,220,1685,2292,3,392,1897,2009,https://www.ors-na.org/wp-content/uploads/2013/08/LMNH_13.pdf,2,"[{""successor_id"":""infection"",""impact"":""0.35""},{""successor_id"":""haemorrhage"",""impact"":""0.15""},{""successor_id"":""low oxygen in blood"",""impact"":""0.3""},{""successor_id"":""stroke"",""impact"":""0.08""},{""successor_id"":""renal failure"",""impact"":""0.02""},{""successor_id"":""gastroinstestinal system failure"",""impact"":""0.04""},{""successor_id"":""haemorrhage"",""impact"":""0.05""}]",https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2707948 DEATH FROM NON-HODGKIN’S LYMPHOMA * OStroW et al,1,,,"add indirect link 2before low oxygen in blood?, haemorrhage death from nervous/brain system death",Lymphome non hodgkinien
cancer of the oral cavity and the pharynx,indirect,"[{""predecessor_id"":""alcohol-related carcinogens"",""impact"":""0.5""},{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.5""}]",,,,,,,,,,,,,,4000,5.96,904,0,336,568,2936,0,1412,1524,2011,http://www.invs.sante.fr/Publications-et-outils/Rapports-et-syntheses/Maladies-chroniques-et-traumatismes/2011/Projection-de-l-incidence-et-de-la-mortalite-par-cancer-en-France-en-2011,2,"[{""successor_id"":""metastasis""}]","""not well understood"" https://www.health.ny.gov/statistics/cancer/registry/abouts/oral.htm https://www.sciencedirect.com/science/article/pii/S1368837515003577",1,,,,Cancer de la cavité buccale/Cancer du pharynx
esophageal cancer,indirect,"[{""predecessor_id"":""alcohol-related carcinogens"",""impact"":""0.5""},{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.5""}]",,,,,,,,,,,,,,3830,5.71,883,0,201,682,2947,0,992,1955,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""nutritional deficiency"",""impact"":""0.2""},{""successor_id"":""metastasis"",""impact"":""0.8""}]",https://ro-journal.biomedcentral.com/articles/10.1186/s13014-018-1197-5,1,,,"Originate from 1932 paper, any new source. Diff Squamous-cell carcinoma vs Adenocarcinoma esophageal death tolls?",Cancer de l'œsophage
leukemia,indirect,"[{""predecessor_id"":""ionizing radiations"",""impact"":""1""}]",,,,,,,,,,,,,,3800,5.67,1726,3,199,1524,2074,3,355,1716,,,1,"[{""successor_id"":""infection"",""impact"":""0.7""},{""successor_id"":""haemorrhage"",""impact"":""0.52""}]","https://jamanetwork.com/journals/jama/fullarticle/656006#:~:text=From%20the%20Acute%20Leukemia%20Service,Cancer%20Institute%2C%20Bethesda%2C%20Md.&text=Major%20causes%20of%20death,than%20one%20cause%20of%20death.",1,,,idea: filter blood cells?,Leucémie
kidney cancer,indirect,"[{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.5""},{""predecessor_id"":""nonsteroidal anti-inflammatory drugs"",""impact"":""0.5""}]",,,,,,,,,,,,,,3562,5.31,1266,2,223,1041,2296,1,566,1729,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""coronary heart disease"",""impact"":""0.88""},{""successor_id"":""infection"",""impact"":""0.12""}]",https://jasn.asnjournals.org/content/26/10/2504,1,,,,Cancer du rein
narcotic,root,,,,,,,,,,,,,,,3650,5.44,1270,0,1074,196,2380,0,1979,401,,(don't use deaths in https://www.ofdt.fr/BDD/publications/docs/epfxdlk7.pdf as for a cohort only),1,"[{""successor_id"":""overdose of narcotics""},{""successor_id"":""intoxication non-accident""},{""successor_id"":""unknown""}]",,1,yes,F13-F19,,Produit stupéfiant
asphyxia,indirect,"[{""predecessor_id"":""suffocation by ingestion"",""impact"":""0.89""},{""predecessor_id"":""drowning"",""impact"":""0.11""}]",,,,,,,,,,,,,,3543,5.28,1985,15,359,1611,1558,23,305,1229,2005,https://www.economie.gouv.fr/files/files/directions_services/cnc/Avis_CSC/2005_Avis_Ingestion.pdf,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]",computed. https://www.nsc.org/in-the-newsroom/nsc-statement-on-new-cdc-data-showing-a-rise-in-accidental-death,2,yes,,outside drowning,Asphyxie
ovarian cancer,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""0.62""},{""predecessor_id"":""inherited gene mutations"",""impact"":""0.38""}]",,,,,,,,,,,,,,3445,5.14,3445,0,772,2673,0,0,0,0,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""metastasis"",""impact"":""1""}]","World Cancer Report 2014. World, https://ijgc.bmj.com/content/29/3/593",2,,,"BRCA1, BRCA2",Cancer de l'ovaire
brain cancer,indirect,"[{""predecessor_id"":""medical radiations"",""impact"":""0.5""},{""predecessor_id"":""unknown carcinogens"",""impact"":""0.45""},{""predecessor_id"":""inherited gene mutations"",""impact"":""0.05""}]",,,,,,,,,,,,,,2940,4.38,1262,6,516,741,1678,8,766,904,2010,"https://www.cancer-environnement.fr/264-Cancer-du-cerveau.ce.aspx#:~:text=Les%20tumeurs%20c%C3%A9r%C3%A9brales%20sont%20des,cancer%20(INCa%2C%202010).",2,"[{""successor_id"":""haemorrhage""}]","""Cause of death in patients with glioblastoma is multifactorial"" 179-185, 1991, https://www.cancer.net/cancer-types/brain-tumor/risk-factors#:~:text=Family%20history.,and%20von%20Hippel%2DLindau%20disease for 5% from heriditary",1,,C71,French distribution of total to gender/age groups based on CDC wonder for US,Tumeur du cerveau
smoke cannabis,root,,,,,,,,,,,,,,,2840,4.23,994,0,710,284,1846,0,1704,142,,too much contradictory sources. Avg,1,"[{""successor_id"":""ischemia""}]",https://www.sciencedirect.com/science/article/pii/S0379073819300891 https://www.ncbi.nlm.nih.gov/books/NBK425761/ (smoking cannabis doesn't significantly increased cancer risk),2,,F12,French distribution of total to gender/age groups based on CDC wonder for USA,Cannabis
multiple myeloma,indirect,"[{""predecessor_id"":""mgus"",""impact"":""0.5""},{""predecessor_id"":""unknown carcinogens"",""impact"":""0.5""}]",,,,,,,,,,,,,,2800,4.18,1237,0,215,1022,1563,0,309,1254,,estimated based on incidence and regional Poitou-charentes mortality rate,1,"[{""successor_id"":""infection"",""impact"":""0.5""},{""successor_id"":""neoplasm"",""impact"":""0.5""}]","simplified from fig. 2 https://www.nature.com/articles/s41408-018-0068-5#:~:text=To%20conclude%2C%20the%20majority%20of,and%20cardiopulmonary%20failure%20were%20leading.",1,,C90,French distribution of total to gender/age groups based on CDC wonder for USA,maladie de Kahler
industrial radiations,root,,,,,,,,,,,,,,,0,0.00,0,0,0,0,0,0,0,0,,,1,"[{""successor_id"":""ionizing radiations""}]",,1,,,,Radiations industrielles
uterine cancer,indirect,"[{""predecessor_id"":""unknown carcinogens"",""impact"":""1""}]",,,,,,,,,,,,,,2755,4.11,2755,0,507,2248,0,0,0,0,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""metastasis"",""impact"":""1""}]",,1,,," quantify infection by hpv? , metastasis no data evidence",Cancer de l'utérus
sepsis,indirect,"[{""predecessor_id"":""infection"",""impact"":""1""}]",,,,,,,,,,,,,,1800,2.68,1425,7,312,1107,1375,7,360,1008,,contradictory https://www.santepubliquefrance.fr/content/download/186045/2317759 https://www.pasteur.fr/fr/centre-medical/fiches-maladies/sepsis-septicemie,2,"[{""successor_id"":""low blood pressure"",""impact"":""0.5""},{""successor_id"":""ischemia"",""impact"":""0.5""}]",by definition. Is worsening multiple organ failure the cause of death in patients with severe sepsis? DOI: 10.1097/CCM.0b013e31820eda29,1,,"A40,A41",septic shock is merged with blood pressure drop,Septicémie
melanoma,indirect,"[{""predecessor_id"":""natural radiations"",""impact"":""1""}]",,,,,,,,,,,,,,1732,2.58,773,0,261,512,959,0,330,629,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""metastasis"",""impact"":""1""}]",https://pubmed.ncbi.nlm.nih.gov/20623386/,1,,,sun UVs are part of natural radiations. Shall we move tanned lamp radioations to industrial radiations concept?,Mélanome
larynx cancer,indirect,"[{""predecessor_id"":""cigarette smoke carcinogens"",""impact"":""0.5""},{""predecessor_id"":""alcohol-related carcinogens"",""impact"":""0.5""}]",,,,,,,,,,,,,,819,1.22,166,0,65,101,653,0,220,433,2016,https://www.santepubliquefrance.fr/docs/bulletin-epidemiologique-hebdomadaire-12-novembre-2019-n-29-30-surveillance-de-la-mortalite-par-cause-medicale-en-france-les-dernieres-evolutions,2,"[{""successor_id"":""metastasis"",""impact"":""1""}]",predecessors but not impact quantification http://lesterthompsonmd.com/pdf/Eur%20Arch%20Otorhinolaryngol-2014-03_Causes%20of%20death%20of%20patients%20with%20laryngeal%20cancer.pdf,1,,C32,"wood dust, paint fumes not confirmed, French distribution of total to gender/age groups based on CDC wonder for USA",Cancer du larynx
occupational work,root,,,,,,,,,,,,,,,1330,1.98,498.75,0,498.75,0,831,0,831,0,2004,http://opac.invs.sante.fr/doc_num.php?explnum_id=7393,2,"[{""successor_id"":""traumatic injury,""impact"":""0.4024""},{""successor_id"":""bladder cancer"",""impact"":""0.5975""}]",https://www.cdc.gov/niosh/injury/default.html,2,yes,,"trauma during work, French distribution of total to gender/age groups based on accident (not deaths) https://www.anact.fr/web/actualite/essentiel?p_thingIdToShow=36977640",Travail
diarrhea illnesses,indirect,"[{""predecessor_id"":""infection"",""impact"":""1""}]",,,,,,,,,,,,,,1317,1.96,777,17,108,652,540,21,98,421,2008,"https://www-valid.drees.social-sante.gouv.fr/IMG/pdf/esp2011_48_infections_obj40.pdf see cache download ""L’état de santé de la population en France - Rapport 2011 maladies diarrhéetiques.pdf""",2,"[{""successor_id"":""low blood pressure""}]",https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,2,,,"low blood pressure due to dehydration, FRENCH and USA based on CDC wonder for ""non-Injury: Intestinal infections""",Maladies diarrhéiques
mesothelioma cancer,indirect,"[{""predecessor_id"":""exposure to asbestos"",""impact"":""1""}]",,,,,,,,,,,,,,1100,1.64,270,0,62,208,830,0,106,724,2009,https://www.santepubliquefrance.fr/determinants-de-sante/exposition-a-des-agents-physiques/amiante/documents/rapport-synthese/modelisation-de-l-evolution-de-la-mortalite-par-mesotheliome-de-la-plevre-en-france.-projections-a-l-horizon-2050,2,"[{""successor_id"":""low oxygen in blood"",""impact"":""1""}]",https://pubmed.ncbi.nlm.nih.gov/24780577/,1,,C45,"French distribution of total to gender/age groups based on CDC wonder for USA, asbestos might be related to 80% only. what are the missing 20%?",Mésothéliome
cervical cancer,indirect,"[{""predecessor_id"":""infection"",""impact"":""1""}]",,,,,,,,,,,,,,757,1.13,757,0,421,336,0,0,0,0,2016,http://cepidc-data.inserm.fr/inserm/html/index2.htm,2,"[{""successor_id"":""metastasis"",""impact"":""1""}]","https://www.who.int/news-room/fact-sheets/detail/human-papillomavirus-(hpv)-and-cervical-cancer#:~:text=Cervical%20cancer%20is%20caused%20by,%2C%20vagina%2C%20penis%20and%20oropharynx.",1,,,,Cancer du col de l’utérus
burn,indirect,"[{""predecessor_id"":""excessive heat"",""impact"":""1""}]",,,,,,,,,,,,,,215,0.32,86,4,43,39,129,3,74,52,2011,Bulletin épidémiologique hebdomadaire (BEH) 2016,2,"[{""successor_id"":""protein degradation""}]",by definition. http://repository.uki.ac.id/2993/,2,yes,,"sepsis from infection https://www.sciencedirect.com/science/article/pii/S0305417908000715, French distribution of total to gender/age groups based on CDC wonder for USA
",Brulés
excessive heat,indirect,"[{""predecessor_id"":""unknown accidents"",""impact"":""1""}]",,,,,,,,,,,,,,215,0.32,86,4,43,39,129,3,74,52,,,1,"[{""successor_id"":""burn""}]","https://ar.iiarjournals.org/content/32/3/915#:~:text=Temperatures%20between%2046%C2%B0C,%2Dhistone%20complexes%20(9).",2,yes,,,chaleur
intoxication non-accident,indirect,"[{""predecessor_id"":""narcotic"",""impact"":""1""}]",,,,,,,,,,,,,,900,1.34,263,0,223,41,494,0,410,83,2004,,1,"[{""successor_id"":""cell toxicity mechanism""}]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6206310/,2,,,French distribution of total to gender/age groups based on Narcotics death distribution alignment,Intoxication hors accidents
intoxication by accident,indirect,"[{""predecessor_id"":""overdose"",""impact"":""0.094""},{""predecessor_id"":""unknown accidents"",""impact"":""0.763""},{""predecessor_id"":""overdose of narcotics"",""impact"":""0.049""},{""predecessor_id"":""drug overdose"",""impact"":""0.044""},{""predecessor_id"":""heroin overdose"",""impact"":""0.034""},{""predecessor_id"":""cocaine overdose"",""impact"":""0.013""}]",,,,,,,,,,,,,,1748,2.61,720,0,261,459,1028,1,620,407,2004,,1,"[{""successor_id"":""cell toxicity mechanism""}]",predecessor sum up. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6206310/,2,yes,,,Intoxication accidentelle
drowning,root,,,,,,,,,,,,,,,401,0.60,104,15,63,26,296,24,217,55,2006,https://www.santepubliquefrance.fr/maladies-et-traumatismes/traumatismes/noyade/le-lourd-bilan-des-noyades-accidentelles-401-deces-en-france-au-cours-de-l-ete-2006,2,"[{""successor_id"":""asphyxia""}]",https://pubmed.ncbi.nlm.nih.gov/19445027/,2,,,French distribution of total to gender/age groups based on CDC wonder for USA,Noyade
